Altium Designer Pick and Place Locations
D:\Altium Designer\PCB\ESP32BoardCV\Project Outputs for ESP32BoardCV\Pick Place\Pick Place for MainPCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       07/08/26
Time:       19:04
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.030","500.000","270","SMD Module, ESP32-S3FN8, 8 mb Sp"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X37N","1941.984","448.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X37N","1941.984","520.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","27R","TopLayer","RESC1005X37N","1972.000","802.000","0","RES 27 OHM 1% 1/16W 0402"
"R21","27R","TopLayer","RESC1005X37N","1972.000","853.000","0","RES 27 OHM 1% 1/16W 0402"
"R20","0R","TopLayer","RESC1005X37N","2142.000","146.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R19","0R","TopLayer","RESC1005X37N","2038.000","146.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","10K","TopLayer","RESC1005X37N","1022.000","844.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R17","10K","TopLayer","RESC1005X37N","1659.504","288.510","90","RES SMD 10K OHM 1% 1/16W 0402"
"R16","10K","TopLayer","RESC1005X37N","1022.000","668.000","270","RES SMD 10K OHM 1% 1/16W 0402"
